Title	URL	Assignees	Status	Labels	Milestone	Parent issue
K-000 | Define Golden Seed test vectors	https://github.com/GALSOV/galsov-public-roadmap/issues/1	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:test	v0.1 (MVP)	
K-001 | Document branching + commit conventions	https://github.com/GALSOV/galsov-public-roadmap/issues/2	GALSOV	Backlog	area:docs, area:governance, DoD-blocker	v0.1 (MVP)	
K-002 | Create TurnTrace “Hello World” writer	https://github.com/GALSOV/galsov-public-roadmap/issues/3	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	
K-002A | TurnTrace schema + version stamp	https://github.com/GALSOV/galsov-public-roadmap/issues/4	GALSOV	Backlog	area:engine, DoD-blocker, turntrace, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/3
K-002B | TurnTrace writer writes to predictable folder	https://github.com/GALSOV/galsov-public-roadmap/issues/5	GALSOV	Backlog	area:engine, turntrace, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/3
K-002C | TurnTrace smoke test	https://github.com/GALSOV/galsov-public-roadmap/issues/6	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:chore, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/3
K-003 | GameSession spine scaffold	https://github.com/GALSOV/galsov-public-roadmap/issues/7	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-003A | Create SimState root + deterministic IDs	https://github.com/GALSOV/galsov-public-roadmap/issues/8	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-003B | Create TurnContext + phase orchestration	https://github.com/GALSOV/galsov-public-roadmap/issues/9	GALSOV	Backlog	area:engine, DoD-blocker, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-003C | TurnTrace stage structure	https://github.com/GALSOV/galsov-public-roadmap/issues/10	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-003D | Spine golden-seed test	https://github.com/GALSOV/galsov-public-roadmap/issues/11	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-004 | Deterministic ordering helpers	https://github.com/GALSOV/galsov-public-roadmap/issues/12	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:chore	v0.1 (MVP)	
K-004A | DeterministicOrder utilities	https://github.com/GALSOV/galsov-public-roadmap/issues/13	GALSOV	Backlog	area:engine, determinism, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/12
K-004B | Ban unordered iteration in sim core	https://github.com/GALSOV/galsov-public-roadmap/issues/14	GALSOV	Backlog	area:docs, area:engine, determinism	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/12
K-005 | Central RNG service (IRng) + logging	https://github.com/GALSOV/galsov-public-roadmap/issues/15	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	
K-005A | Implement IRng with seed + stream keys	https://github.com/GALSOV/galsov-public-roadmap/issues/16	GALSOV	Backlog	area:engine, determinism, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/15
K-005B | RNG draw logging to TurnTrace	https://github.com/GALSOV/galsov-public-roadmap/issues/17	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/15
K-005C | RNG determinism test	https://github.com/GALSOV/galsov-public-roadmap/issues/18	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/15
K-006 | Movement data models	https://github.com/GALSOV/galsov-public-roadmap/issues/19	GALSOV	Backlog	area:engine, DoD-blocker, type:feature	v0.1 (MVP)	
K-006A | Fleet position + destination model	https://github.com/GALSOV/galsov-public-roadmap/issues/20	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/19
K-006B | Movement order DTOs	https://github.com/GALSOV/galsov-public-roadmap/issues/21	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/19
K-007 | Movement resolution (jump/deep-space/wormhole)	https://github.com/GALSOV/galsov-public-roadmap/issues/22	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-007A | Movement validation rules	https://github.com/GALSOV/galsov-public-roadmap/issues/23	GALSOV	Backlog	area:engine, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/22
K-007B | Deep-space movement apply	https://github.com/GALSOV/galsov-public-roadmap/issues/24	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/22
K-007C | Jump movement apply	https://github.com/GALSOV/galsov-public-roadmap/issues/25	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/22
K-007D | Wormhole transit apply	https://github.com/GALSOV/galsov-public-roadmap/issues/26	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/22
K-007E | Movement golden-seed test	https://github.com/GALSOV/galsov-public-roadmap/issues/27	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/22
K-008 | Sensors/stealth resolution MVP	https://github.com/GALSOV/galsov-public-roadmap/issues/28	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-008A | Sensor + stealth stats on entities	https://github.com/GALSOV/galsov-public-roadmap/issues/29	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/28
K-008B | Detection resolution stage	https://github.com/GALSOV/galsov-public-roadmap/issues/30	GALSOV	Backlog	area:engine, determinism, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/28
K-008C | Detection TurnTrace events	https://github.com/GALSOV/galsov-public-roadmap/issues/31	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/28
K-008D | Sensors golden-seed tests	https://github.com/GALSOV/galsov-public-roadmap/issues/32	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/28
K-009 | Supply pools + burn/refill MVP (ESP)	https://github.com/GALSOV/galsov-public-roadmap/issues/33	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-009A | Empire ESP pool model	https://github.com/GALSOV/galsov-public-roadmap/issues/34	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/33
K-009B | Fleet supply state model	https://github.com/GALSOV/galsov-public-roadmap/issues/35	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/33
K-009C | End-of-turn burn + refill ordering	https://github.com/GALSOV/galsov-public-roadmap/issues/36	GALSOV	Backlog	area:engine, determinism, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/33
K-009D | Supply TurnTrace events	https://github.com/GALSOV/galsov-public-roadmap/issues/37	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/33
K-009E | Supply determinism tests	https://github.com/GALSOV/galsov-public-roadmap/issues/38	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/33
K-010 | Research RP pool + project stages	https://github.com/GALSOV/galsov-public-roadmap/issues/39	GALSOV	Backlog	area:engine, turntrace, type:epic	v0.1 (MVP)	
K-010A | RP pool model	https://github.com/GALSOV/galsov-public-roadmap/issues/40	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/39
K-010B | Research project model + stage enum	https://github.com/GALSOV/galsov-public-roadmap/issues/41	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/39
K-010C | Research allocation + progress	https://github.com/GALSOV/galsov-public-roadmap/issues/42	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/39
K-010D | Research TurnTrace events	https://github.com/GALSOV/galsov-public-roadmap/issues/43	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/39
K-010E | Research determinism tests	https://github.com/GALSOV/galsov-public-roadmap/issues/44	GALSOV	Backlog	area:engine, determinism, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/39
K-011 | Founding orders + ship consumption	https://github.com/GALSOV/galsov-public-roadmap/issues/45	GALSOV	Backlog	area:engine, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-011A | Founding order DTOs	https://github.com/GALSOV/galsov-public-roadmap/issues/46	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/45
K-011B | Stage 70 validation + ship consumption	https://github.com/GALSOV/galsov-public-roadmap/issues/47	GALSOV	Backlog	area:engine, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/45
K-011C | FoundingProject created	https://github.com/GALSOV/galsov-public-roadmap/issues/48	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/45
K-012 | Founding completion creates colony/outpost	https://github.com/GALSOV/galsov-public-roadmap/issues/49	GALSOV	Backlog	area:engine, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-012A | End-of-turn project tick	https://github.com/GALSOV/galsov-public-roadmap/issues/50	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/49
K-012B | Completion creates node	https://github.com/GALSOV/galsov-public-roadmap/issues/51	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/49
K-012C | Founding determinism tests	https://github.com/GALSOV/galsov-public-roadmap/issues/52	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/49
K-013 | UI star-only map + system detail panel	https://github.com/GALSOV/galsov-public-roadmap/issues/53	GALSOV	Backlog	area:ui, type:epic	v0.1 (MVP)	
K-013A | Star map renders stars only	https://github.com/GALSOV/galsov-public-roadmap/issues/54	GALSOV	Backlog	area:ui, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/53
K-013B | Right panel system detail binds	https://github.com/GALSOV/galsov-public-roadmap/issues/55	GALSOV	Backlog	area:ui, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/53
K-014 | UI order issuing (movement/founding)	https://github.com/GALSOV/galsov-public-roadmap/issues/56	GALSOV	Backlog	area:ui, type:epic	v0.1 (MVP)	
K-014A | Movement order UI	https://github.com/GALSOV/galsov-public-roadmap/issues/57	GALSOV	Backlog	area:ui, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/56
K-014B | Founding order UI	https://github.com/GALSOV/galsov-public-roadmap/issues/58	GALSOV	Backlog	area:ui, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/56
K-014C | End Turn button triggers sim	https://github.com/GALSOV/galsov-public-roadmap/issues/59	GALSOV	Backlog	area:ui, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/56
K-015 | UI TurnTrace viewer	https://github.com/GALSOV/galsov-public-roadmap/issues/60	GALSOV	Backlog	area:ui, turntrace, type:epic	v0.1 (MVP)	
K-015A | TurnTrace list view	https://github.com/GALSOV/galsov-public-roadmap/issues/61	GALSOV	Backlog	area:ui, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/60
K-015B | TurnTrace file open / copy	https://github.com/GALSOV/galsov-public-roadmap/issues/62	GALSOV	Backlog	area:ui, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/60
K-016 | DoD code closure pass	https://github.com/GALSOV/galsov-public-roadmap/issues/63	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-016A | Golden seed suite automated	https://github.com/GALSOV/galsov-public-roadmap/issues/64	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/63
K-016B | Stage 50 NO-OP test	https://github.com/GALSOV/galsov-public-roadmap/issues/65	GALSOV	Backlog	area:engine, determinism, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/63
K-016C | “No floats in sim” audit	https://github.com/GALSOV/galsov-public-roadmap/issues/66	GALSOV	Backlog	area:engine, determinism, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/63